product,price,link
"Acer Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","46,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI3MjYzMDAxODY0MTU4OjE3MTc3MzI3NDA6c3BfYXRmOjMwMDE2MDAwNDIyMzUzMjo6MDo6&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CWV1XCRP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3RFGWAQQ8T8QT%26dib%3DeyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26qid%3D1717732740%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","48,590",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTI3MjYzMDAxODY0MTU4OjE3MTc3MzI3NDA6c3BfYXRmOjMwMDAyOTczMzcyNTgzMjo6MDo6&url=%2FHP-15-6-inch-Graphics-Speakers-ey2001AU%2Fdp%2FB0C9DDN2JB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3RFGWAQQ8T8QT%26dib%3DeyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26qid%3D1717732740%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS Vivobook 16X (2022) Thin and Light Laptop,AMD Ryzen 5 5600H, 16.0-inch (40.64 cms) FHD+ 16:10, (8GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.80 kg), M1603QA-MB501WS","46,990",https://www.amazon.in/ASUS-Vivobook-16-0-inch-40-64-M1603QA-MB501WS/dp/B0B8ZT96HS/ref=sr_1_3?crid=3RFGWAQQ8T8QT&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw&dib_tag=se&keywords=laptops+under+50000&qid=1717732740&sprefix=laptops+under+500%2Caps%2C277&sr=8-3
"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU","48,119",https://www.amazon.in/HP-Graphics-Backlit-fq5202TU-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_4?crid=3RFGWAQQ8T8QT&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw&dib_tag=se&keywords=laptops+under+50000&qid=1717732740&sprefix=laptops+under+500%2Caps%2C277&sr=8-4
"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","45,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_5?crid=3RFGWAQQ8T8QT&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw&dib_tag=se&keywords=laptops+under+50000&qid=1717732740&sprefix=laptops+under+500%2Caps%2C277&sr=8-5
"Lenovo ThinkBook 15 G5 Ryzen 5 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Win 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JF002PIN","38,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjY4MDQ5NzQwNDI5MTU4OjE3MTc3MzI3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0Mjk3NzkzMTAzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Fingerprint-21JF002PIN%2Fdp%2FB0CQRLD5BY%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3RFGWAQQ8T8QT%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.fbrNuy083uajauy7FQ9Yv2Ipp8qMpoabRLre1RneMBtZmVG_W-Qd9h1mx5uAC9-o.FD116ZjPosjMX7-_WXm1xIGjQtPv-05JbD2VFLTO1g8%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0CQRLD5BY%26pd_rd_r%3De2821577-2ce8-4b1e-b004-ab4532777ed8%26pd_rd_w%3DA7N3M%26pd_rd_wg%3DP5S9n%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DBNCMR0SYY2S7JEHFZM23%26qid%3D1717732740%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo IdeaPad Gaming 3 11th Gen Intel Core i5-11320H 15.6"" (39.62cm) FHD IPS 60Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.25Kg), 82K101PCIN","47,890",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjY4MDQ5NzQwNDI5MTU4OjE3MTc3MzI3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyMDAyNTAxMDQzMjo6MTo6&url=%2FLenovo-IdeaPad-i5-11320H-39-62cm-82K101PCIN%2Fdp%2FB0CGV3BPK6%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3RFGWAQQ8T8QT%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.fbrNuy083uajauy7FQ9Yv2Ipp8qMpoabRLre1RneMBtZmVG_W-Qd9h1mx5uAC9-o.FD116ZjPosjMX7-_WXm1xIGjQtPv-05JbD2VFLTO1g8%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0CGV3BPK6%26pd_rd_r%3De2821577-2ce8-4b1e-b004-ab4532777ed8%26pd_rd_w%3DA7N3M%26pd_rd_wg%3DP5S9n%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DBNCMR0SYY2S7JEHFZM23%26qid%3D1717732740%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS TUF F15 Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz,(16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W","54,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjY4MDQ5NzQwNDI5MTU4OjE3MTc3MzI3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyMDAyNTAxMDgzMjo6Mjo6&url=%2FASUS-SmartChoice-i5-11400H-GeForce-FX506HF-HN025W%2Fdp%2FB0C27SD9YR%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3RFGWAQQ8T8QT%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.fbrNuy083uajauy7FQ9Yv2Ipp8qMpoabRLre1RneMBtZmVG_W-Qd9h1mx5uAC9-o.FD116ZjPosjMX7-_WXm1xIGjQtPv-05JbD2VFLTO1g8%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0C27SD9YR%26pd_rd_r%3De2821577-2ce8-4b1e-b004-ab4532777ed8%26pd_rd_w%3DA7N3M%26pd_rd_wg%3DP5S9n%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DBNCMR0SYY2S7JEHFZM23%26qid%3D1717732740%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB,MSO,Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fq5330TU","52,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjY4MDQ5NzQwNDI5MTU4OjE3MTc3MzI3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEzNjY1MzAzOTQzMjo6NDo6&url=%2FHP-i5-1235U-15-6-inch-Graphics-Speakers%2Fdp%2FB0CTKHTNWL%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3RFGWAQQ8T8QT%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.fbrNuy083uajauy7FQ9Yv2Ipp8qMpoabRLre1RneMBtZmVG_W-Qd9h1mx5uAC9-o.FD116ZjPosjMX7-_WXm1xIGjQtPv-05JbD2VFLTO1g8%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0CTKHTNWL%26pd_rd_r%3De2821577-2ce8-4b1e-b004-ab4532777ed8%26pd_rd_w%3DA7N3M%26pd_rd_wg%3DP5S9n%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DBNCMR0SYY2S7JEHFZM23%26qid%3D1717732740%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B500%252Caps%252C277%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN","38,800",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_6?crid=3RFGWAQQ8T8QT&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHppvVoYze9V2tSWTw1lk5AFq6QQ0duTpN86SszicgXlt5KIqujMXjPSSkSEvvVx3CI1dlRi2YxYDBO_c1lbE0pKOOE9q4XK-ceK-h-LUEW_-cb3i0qd_m2pzu-DQyz7ZID4UTsp-l-WLPdonRWFmG8T-LvNmFDHMSeSJKWEIV8lk1JiTdg9ISa-c1AF7pGj_XYnHPEUjJtjmm4uP0ceFS98Y.ZZ2Ddtm5jGMksOxd0gswp1xwFUsXjqhzg2MimjI6Vnw&dib_tag=se&keywords=laptops+under+50000&qid=1717732740&sprefix=laptops+under+500%2Caps%2C277&sr=8-6
